Sessions,Bounce Rate,Page Views,content_length,month,mobile,tablet,(direct),goog,nkedin,t.co,spain,united states,log_Avg_Time_Page
1.0,1.0,1.0,2636,12,0,0,0,1,0,0,0,0,2.302585092994046
3.0,0.6667000000000001,4.0,5546,7,0,0,0,1,0,0,0,0,2.9444389791664403
0.0,0.0,1.0,379,12,0,0,1,0,0,0,0,0,4.276666119016055
2.0,1.0,2.0,10705,12,1,0,0,0,1,0,0,0,2.302585092994046
1.0,1.0,1.0,4463,2,1,0,0,1,0,0,0,0,2.302585092994046
0.0,0.0,1.0,6261,2,0,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,4603,12,1,0,0,1,0,0,0,0,2.302585092994046
4.0,0.25,6.0,10705,12,0,0,0,0,0,1,1,0,5.961005339623274
3.0,1.0,4.0,1333,10,0,0,0,1,0,0,0,1,2.772588722239781
2.0,0.5,4.0,5581,5,0,0,0,1,0,0,0,0,2.5649493574615367
3.0,1.0,3.0,6981,3,1,0,0,0,0,1,0,0,2.302585092994046
0.0,0.0,1.0,4936,11,0,0,0,0,0,0,1,0,2.302585092994046
1.0,1.0,1.0,10681,3,0,0,0,1,0,0,0,0,2.302585092994046
5.0,0.6,7.0,21233,3,0,0,0,1,0,0,0,0,5.54907608489522
3.0,0.3333,5.0,5234,10,1,0,1,0,0,0,0,0,6.255750041753367
1.0,1.0,1.0,2761,2,0,1,0,0,1,0,0,1,2.302585092994046
1.0,1.0,1.0,3968,8,0,0,0,0,0,0,1,0,2.302585092994046
1.0,1.0,1.0,3372,9,1,0,0,0,0,1,0,0,2.302585092994046
3.0,0.6667000000000001,4.0,2508,3,0,0,0,1,0,0,0,0,4.02535169073515
4.0,1.0,39.0,1291,9,0,0,0,1,0,0,1,0,5.4680601411351315
1.0,1.0,1.0,3744,1,1,0,1,0,0,0,0,0,2.302585092994046
2.0,1.0,2.0,3799,11,0,0,0,1,0,0,0,0,2.302585092994046
1.0,0.0,2.0,5234,10,1,0,0,0,0,1,0,0,3.871201010907891
4.0,0.75,5.0,2353,3,0,0,0,1,0,0,1,0,7.001245622069476
1.0,1.0,1.0,11303,1,0,0,0,1,0,0,0,0,2.302585092994046
0.0,0.0,1.0,1291,9,0,0,0,0,0,0,0,0,2.302585092994046
1.0,1.0,1.0,3470,10,0,0,0,1,0,0,0,0,2.302585092994046
0.0,0.0,1.0,4377,12,0,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,3811,7,0,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,1.0,12373,7,0,0,0,0,0,1,0,0,2.302585092994046
1.0,0.0,1.0,9447,3,0,0,1,0,0,0,0,0,4.418840607796598
1.0,1.0,1.0,5581,5,0,1,0,1,0,0,0,0,2.302585092994046
6.0,1.0,6.0,3799,11,1,0,0,1,0,0,0,0,2.302585092994046
1.0,1.0,2.0,3477,1,0,0,1,0,0,0,0,1,2.302585092994046
1.0,1.0,1.0,6981,3,1,0,0,0,0,1,0,0,2.302585092994046
4.0,1.0,4.0,3968,8,1,0,1,0,0,0,0,1,2.302585092994046
2.0,1.0,2.0,4169,12,0,0,0,1,0,0,0,0,2.302585092994046
4.0,0.75,6.0,8320,1,0,0,0,1,0,0,0,0,3.4339872044851463
2.0,0.5,2.0,3968,8,0,0,0,0,1,0,0,0,4.969813299576001
0.0,0.0,1.0,5234,10,1,0,1,0,0,0,0,0,2.302585092994046
1.0,0.0,2.0,1291,9,0,0,1,0,0,0,0,0,5.204006687076795
0.0,0.0,1.0,7393,9,0,0,1,0,0,0,0,0,2.4849066497880004
1.0,1.0,1.0,3046,1,0,0,0,0,0,1,0,0,2.302585092994046
1.0,1.0,1.0,2338,3,0,0,1,0,0,0,0,0,2.302585092994046
1.0,0.0,2.0,2283,1,0,0,0,1,0,0,0,0,3.367295829986474
1.0,1.0,1.0,9190,4,0,0,0,1,0,0,0,0,2.302585092994046
1.0,0.0,1.0,5078,7,0,0,0,0,0,0,1,0,6.5722825426940075
6.0,1.0,6.0,3799,11,1,0,0,1,0,0,0,1,2.302585092994046
1.0,1.0,1.0,7393,9,1,0,0,1,0,0,0,0,2.302585092994046
6.0,1.0,6.0,3799,11,1,0,0,1,0,0,0,0,2.302585092994046
1.0,0.0,2.0,10375,3,0,0,0,1,0,0,0,0,3.4965075614664802
2.0,1.0,2.0,27307,8,0,0,0,0,0,0,0,0,2.302585092994046
2.0,1.0,2.0,3799,11,1,0,0,1,0,0,0,0,2.302585092994046
0.0,0.0,1.0,966,3,0,0,0,1,0,0,0,1,2.302585092994046
