Sessions,Bounce Rate,Page Views,content_length,month,mobile,tablet,(direct),goog,nkedin,t.co,spain,united states
1.0,1.0,1.0,2636,12,0,0,0,1,0,0,0,0
3.0,0.6667000000000001,4.0,5546,7,0,0,0,1,0,0,0,0
0.0,0.0,1.0,379,12,0,0,1,0,0,0,0,0
2.0,1.0,2.0,10705,12,1,0,0,0,1,0,0,0
1.0,1.0,1.0,4463,2,1,0,0,1,0,0,0,0
0.0,0.0,1.0,6261,2,0,0,0,1,0,0,0,0
1.0,1.0,1.0,4603,12,1,0,0,1,0,0,0,0
4.0,0.25,6.0,10705,12,0,0,0,0,0,1,1,0
3.0,1.0,4.0,1333,10,0,0,0,1,0,0,0,1
2.0,0.5,4.0,5581,5,0,0,0,1,0,0,0,0
3.0,1.0,3.0,6981,3,1,0,0,0,0,1,0,0
0.0,0.0,1.0,4936,11,0,0,0,0,0,0,1,0
1.0,1.0,1.0,10681,3,0,0,0,1,0,0,0,0
5.0,0.6,7.0,21233,3,0,0,0,1,0,0,0,0
3.0,0.3333,5.0,5234,10,1,0,1,0,0,0,0,0
1.0,1.0,1.0,2761,2,0,1,0,0,1,0,0,1
1.0,1.0,1.0,3968,8,0,0,0,0,0,0,1,0
1.0,1.0,1.0,3372,9,1,0,0,0,0,1,0,0
3.0,0.6667000000000001,4.0,2508,3,0,0,0,1,0,0,0,0
4.0,1.0,39.0,1291,9,0,0,0,1,0,0,1,0
1.0,1.0,1.0,3744,1,1,0,1,0,0,0,0,0
2.0,1.0,2.0,3799,11,0,0,0,1,0,0,0,0
1.0,0.0,2.0,5234,10,1,0,0,0,0,1,0,0
4.0,0.75,5.0,2353,3,0,0,0,1,0,0,1,0
1.0,1.0,1.0,11303,1,0,0,0,1,0,0,0,0
0.0,0.0,1.0,1291,9,0,0,0,0,0,0,0,0
1.0,1.0,1.0,3470,10,0,0,0,1,0,0,0,0
0.0,0.0,1.0,4377,12,0,0,0,1,0,0,0,0
1.0,1.0,1.0,3811,7,0,0,0,1,0,0,0,0
1.0,1.0,1.0,12373,7,0,0,0,0,0,1,0,0
1.0,0.0,1.0,9447,3,0,0,1,0,0,0,0,0
1.0,1.0,1.0,5581,5,0,1,0,1,0,0,0,0
6.0,1.0,6.0,3799,11,1,0,0,1,0,0,0,0
1.0,1.0,2.0,3477,1,0,0,1,0,0,0,0,1
1.0,1.0,1.0,6981,3,1,0,0,0,0,1,0,0
4.0,1.0,4.0,3968,8,1,0,1,0,0,0,0,1
2.0,1.0,2.0,4169,12,0,0,0,1,0,0,0,0
4.0,0.75,6.0,8320,1,0,0,0,1,0,0,0,0
